full_name,rating,jersey,team,position,b_day,height,weight,salary,bestsalary,country,draft_year,draft_round,draft_peak,college
Miye Oni,69,#24,Utah Jazz,F,08/04/97,6-5 / 1.96,210 lbs. / 95.3 kg.,"$898,310",0.90,USA,2019,2,58,Yale
Malcolm Miller,69,#13,Toronto Raptors,F,03/06/93,6-7 / 2.01,205 lbs. / 93 kg.,"$1,588,231",1.59,USA,2015,Undrafted,Undrafted,Holy Cross
Isaac Bonga,68,#17,Washington Wizards,G,11/08/99,6-8 / 2.03,200 lbs. / 90.7 kg.,"$1,416,852",1.42,Germany,2018,2,39,
Isaiah Hartenstein,68,#0,,F-C,05/05/98,7-0 / 2.13,250 lbs. / 113.4 kg.,"$1,416,852",1.42,Germany,2017,2,43,
Jordan McRae,68,#0,Detroit Pistons,G,03/28/91,6-5 / 1.96,179 lbs. / 81.2 kg.,"$1,254,933",1.25,USA,2014,2,58,Tennessee
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/02/95,6-0 / 1.83,180 lbs. / 81.6 kg.,"$522,738",0.52,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
Michael Frazier,68,#21,Houston Rockets,G,03/08/94,6-3 / 1.91,200 lbs. / 90.7 kg.,"$79,568",0.08,USA,2015,2,60,Florida
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,6-10 / 2.08,200 lbs. / 90.7 kg.,"$79,568",0.08,Greece,2018,Undrafted,Undrafted,Dayton
Jalen Lecque,68,#0,Phoenix Suns,G,06/13/00,6-3 / 1.91,190 lbs. / 86.2 kg.,"$898,310",0.90,USA,2019,Undrafted,Undrafted,
Duncan Robinson,67,#55,Miami Heat,F,04/22/94,6-7 / 2.01,215 lbs. / 97.5 kg.,"$1,416,852",1.42,USA,2018,Undrafted,Undrafted,Michigan
