full_name,rating,jersey,team,position,b_day,height,weight,salary,bestsalary,country,draft_year,draft_round,draft_peak,college
Khem Birch,74,#24,Orlando Magic,C,09/28/92,6-9 / 2.06,209 lbs. / 94.8 kg.,"$3,000,000",3.00,Canada,2014,Undrafted,Undrafted,UNLV
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,01/22/96,6-7 / 2.01,225 lbs. / 102.1 kg.,"$1,618,520",1.62,Canada,2017,2,45,Oregon
Reggie Bullock,74,#25,New York Knicks,G,03/16/91,6-6 / 1.98,200 lbs. / 90.7 kg.,"$4,000,000",4.00,USA,2013,1,25,North Carolina
Zach Collins,74,#33,Portland Trail Blazers,C,11/17/97,6-11 / 2.11,232 lbs. / 105.2 kg.,"$4,240,200",4.24,USA,2017,1,10,Gonzaga
Pat Connaughton,74,#24,Milwaukee Bucks,G,01/06/93,6-5 / 1.96,215 lbs. / 97.5 kg.,"$1,723,050",1.72,USA,2015,2,41,Notre Dame
Quinn Cook,74,#2,Los Angeles Lakers,G,03/23/93,6-1 / 1.85,180 lbs. / 81.6 kg.,"$3,000,000",3.00,USA,2015,Undrafted,Undrafted,Duke
Torrey Craig,74,#3,Denver Nuggets,G,12/19/90,6-7 / 2.01,215 lbs. / 97.5 kg.,"$2,000,000",2.00,USA,2014,Undrafted,Undrafted,USC Upstate
Seth Curry,74,#30,Dallas Mavericks,G,08/23/90,6-2 / 1.88,180 lbs. / 81.6 kg.,"$7,461,380",7.46,USA,2013,Undrafted,Undrafted,Duke
Cheick Diallo,74,#14,Phoenix Suns,F-C,09/13/96,6-8 / 2.03,219 lbs. / 99.3 kg.,"$1,678,854",1.68,Mali,2016,2,33,Kansas
Yogi Ferrell,74,#3,Sacramento Kings,G,05/09/93,6-0 / 1.83,178 lbs. / 80.7 kg.,"$3,150,000",3.15,USA,2016,Undrafted,Undrafted,Indiana
Markelle Fultz,74,#20,Orlando Magic,G,05/29/98,6-3 / 1.91,195 lbs. / 88.5 kg.,"$9,745,200",9.75,USA,2017,1,1,Washington
Harry Giles,74,#20,Sacramento Kings,F-C,04/22/98,6-11 / 2.11,232 lbs. / 105.2 kg.,"$2,578,800",2.58,USA,2017,1,20,Duke
Moe Harkless,74,#0,New York Knicks,F,05/11/93,6-7 / 2.01,208 lbs. / 94.3 kg.,"$11,011,234",11.01,USA,2012,1,15,St. John's
Justin Jackson,74,#44,Dallas Mavericks,F-G,03/28/95,6-7 / 2.01,201 lbs. / 91.2 kg.,"$3,280,920",3.28,USA,2017,1,15,North Carolina
Tyler Johnson,74,#0,Brooklyn Nets,G,05/07/92,6-3 / 1.91,186 lbs. / 84.4 kg.,"$19,428,485",19.43,USA,2014,Undrafted,Undrafted,Fresno State
Derrick Jones,74,#5,Miami Heat,F,02/15/97,6-6 / 1.98,195 lbs. / 88.5 kg.,"$1,645,357",1.65,USA,2016,Undrafted,Undrafted,UNLV
